outcome,carat,cut,color,clarity,depth,table,price,x,y,z,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,a6,a7,a8,a9,a10,b6,b7,b8,b9,b10
0,0.67,Ideal,G,IF,61.6,55,3271,5.61,5.65,3.47,0.726362684043124,0.316002091392875,0.524926820769906,0.578540986636654,0.355469144647941,0.740130722289905,0.573343622265384,0.964988184161484,0.468684910098091,0.225448436569423,0.421704869676183,0.282297988028638,0.39527485948189,-0.226713555999981,0.316165920439131,-0.132438215881818,-1.36187676451807,-0.524131482852362,-1.07344736966342,-1.31535874276393
0,0.71,Ideal,F,VS1,61.9,56,3710,5.69,5.72,3.53,0.99267011298798,0.443074467359111,0.913274463033304,0.242919488810003,0.382106389617547,0.276948811253533,0.527423853287473,0.73209509649314,0.587696186034009,0.820773141691461,0.229866543287128,-0.198472347531364,1.3115105778836,0.322095721912396,-0.0635415472705693,0.839262733478235,0.453192331042697,-0.146860427879634,0.0352769462401089,-0.350431482887531
1,1.04,Ideal,G,VVS2,61.5,57,9465,6.51,6.54,4.01,0.75705787120387,0.57537808874622,0.383355698082596,0.696857528062537,0.603950450196862,0.0124213786330074,0.344660925911739,0.534117345465347,0.374515033094212,0.0711148669943214,0.412161237394122,0.52055692761837,0.582933557596471,0.618682479958144,0.19687633142477,-1.24335398613558,0.264806671020735,0.662678335890964,0.782424756723599,1.27892132101445
0,0.79,Very Good,E,SI1,63.2,56,3053,5.91,5.83,3.71,0.691017528995872,0.108170396881178,0.112571110483259,0.705252198269591,0.026812836760655,0.991404690081254,0.491971584036946,0.572301677661017,0.14400480967015,0.230830972548574,0.908971506147866,0.528895622830065,-0.309008299518474,-0.0992579322599796,0.00191390754860959,-0.518286848053107,-0.617241227621651,0.710188800014235,1.81282035413269,1.70706963172836
0,0.75,Very Good,F,SI1,62.3,58,2573,5.8,5.86,3.63,0.342892201384529,0.207891043275595,0.875418007606641,0.489031604491174,0.212526702089235,0.0771139287389815,0.581457823049277,0.354497417109087,0.39026962639764,0.443306125933304,0.686528806527575,1.47649558462539,1.0455122831792,0.12870570446376,-0.15966356249041,0.535133735875591,0.91740062385967,1.60671323514465,0.478533299939873,0.0169473108954652
0,1.01,Good,D,SI1,65.1,57,5544,6.3,6.32,4.11,0.6074512405321,0.743833597516641,0.362193844746798,0.87137814424932,0.843068782472983,0.474530034698546,0.335590474074706,0.479478433262557,0.568770844256505,0.485233284765855,0.8144770664037,1.76936228003231,-0.246943125330451,-0.667478266294863,0.617564117408863,0.028396307264176,0.71154721468485,2.09032912607086,2.8358967564863,1.43304140849
0,0.59,Ideal,D,SI1,61.2,56,1821,5.43,5.38,3.31,0.902783696772531,0.716124354628846,0.983493698062375,0.933132758364081,0.441798835061491,0.0184916646685451,0.649836881319061,0.0491509202402085,0.576643330277875,0.596953001338989,0.110665345947686,-0.688561417612132,-0.0436722186376737,1.68629399541687,1.22304577994418,-1.3681511638521,-0.341103160285219,0.5867185555523,0.437035008233109,0.812908174223889
0,0.9,Good,F,SI1,62.4,55,3898,6.17,6.21,3.86,0.0043464011978358,0.080498932627961,0.744124752469361,0.14587512682192,0.936484592966735,0.471018299460411,0.973194231512025,0.533514629583806,0.524146402953193,0.0830397808458656,-0.820723012089025,0.232527267756331,-0.691789972440606,-0.396661142181233,0.377687961602682,0.256058344288797,0.129561014969477,1.18231936577437,-0.226828426279673,-0.905350660232275
0,0.58,Premium,F,SI1,61,57,1634,5.41,5.34,3.28,0.030140487710014,0.133440777892247,0.302972013363615,0.598445682087913,0.016647158190608,0.960198796121404,0.604774842271581,0.643349433317781,0.830135088413954,0.906073867343366,0.114931816626228,0.451237747281541,-0.135215094181199,-1.34525937510079,-0.127106602074533,-0.354573414582662,0.466587770062944,-0.269233022744479,0.702261459297989,0.384099551055277
0,0.34,Ideal,G,VS2,62.7,55,596,4.48,4.49,2.81,0.865206143353134,0.995742352679372,0.545888470252976,0.963598535163328,0.112916902871802,0.262155710486695,0.0817516269162297,0.375366049353033,0.489410115405917,0.205606045899913,-1.12871772657457,-1.23793805962954,0.337577461071756,0.457495695454197,-0.647032809095815,-1.33358489476259,-1.0783105043777,-0.510335099533503,0.987694560651629,-0.116271334792969
